red,green,blue,black,yellow,no match,skin_type,initial_price,curr_price,days_since_release
298,1308,65,127107,822,0,Hunting Bow,1.99,3.34,343
399,4727,65,123594,815,0,Semi-Automatic Rifle,1.99,2.2,743
362,35025,2910,84405,6898,0,Leather Gloves,1.49,1.65,561
11403,10670,398,105862,1267,0,Hoodie,0.99,0.82,561
0,8926,390,119852,432,0,Pants,0.99,1.88,561
3,58449,2420,62680,6048,0,Garage Door,1.49,2.38,84
98,27570,47,84030,17855,0,Large Wood Box,1.49,1.41,84
2328,23913,46,88872,14441,0,Large Wood Box,4.7,2.34,1149
0,24660,48,104426,466,0,Boots,0.99,3.7,686
336,27388,42,96780,5054,0,Leather Gloves,0.99,3.18,686
0,5024,47,124525,4,0,Hoodie,0.99,2.07,687
1,15112,46,114077,364,0,Pants,0.99,2.13,686
3526,15803,1208,105308,3755,0,Hammer,1.99,2.31,665
0,1866,44,127690,0,0,Hide Poncho,3.69,32.57,1215
0,8200,17,121303,80,0,Shorts,2.49,5.46,1291
816,12014,216,113150,3404,0,Rocket Launcher,1.99,1.65,160
2498,7922,48,110469,8663,0,Salvaged Sword,1.99,1.0,532
1711,3453,140,118207,6089,0,Semi-Automatic Rifle,3.99,6.27,455
979,8307,91,112789,7434,0,Double Barrel Shotgun,1.99,1.8,42
555,19721,32,105154,4138,0,Furnace,1.49,2.17,897
7,30467,29,92705,6392,0,Sleeping Bag,1.49,4.79,953
15,12780,32,113557,3216,0,Waterpipe Shotgun,3.14,2.42,854
1406,19186,30,102707,6271,0,Sleeping Bag,1.49,4.62,595
1,21928,682,98907,8082,0,Riot Helmet,4.99,2.9,1294
1480,19972,47,97179,10922,0,Large Wood Box,1.71,2.06,869
2,15648,30,99544,14376,0,Burlap Shirt,4.99,4.15,1294
2,31346,29,97512,711,0,Sleeping Bag,1.57,2.71,1128
0,25964,48,101038,2550,0,Boots,1.45,3.17,1142
336,27241,42,96740,5241,0,Leather Gloves,1.49,4.27,1135
1,3992,47,124988,572,0,Pants,1.45,1.49,1128
1,20098,30,108676,795,0,Burlap Shirt,0.99,4.02,1059
1221,6303,1267,120348,461,0,Combat Knife,3.99,1.65,414
3,5670,60,123831,36,0,Metal Facemask,29.34,10.18,1211
586,5588,31,119322,4073,0,Assault Rifle,2.99,2.18,3
2,5101,22,124402,73,0,Locker,2.99,3.01,43
4682,18383,40,96973,9522,0,Wood Storage Box,2.99,7.24,92
43,11316,29,115042,3170,0,Armored Door,1.49,2.86,566
